Wall time,Step,Value
1681552867.1093755,65536,58.709590911865234
1681552867.9983594,131072,137.2558135986328
1681552868.8975813,196608,166.25482177734375
1681552869.817849,262144,182.19903564453125
1681552870.7448328,327680,226.20819091796875
1681552871.6494436,393216,236.2941131591797
1681552872.5704927,458752,233.31460571289062
1681552873.5139422,524288,212.094482421875
1681552874.4463494,589824,200.970703125
1681552875.4542356,655360,189.60226440429688
1681552876.3492613,720896,183.00885009765625
1681552877.2735698,786432,188.6125030517578
1681552878.1913846,851968,180.25950622558594
1681552879.102808,917504,182.66323852539062
1681552880.0338187,983040,171.10081481933594
1681552880.9495158,1048576,177.44036865234375
1681552881.8716743,1114112,170.78057861328125
1681552882.79248,1179648,170.81280517578125
1681552883.6991842,1245184,145.63267517089844
1681552884.6358232,1310720,164.97341918945312
1681552885.5829535,1376256,156.45518493652344
1681552886.4944203,1441792,154.5890655517578
1681552887.430227,1507328,175.59445190429688
1681552888.3462484,1572864,176.20578002929688
1681552889.2975109,1638400,193.44931030273438
1681552890.2329,1703936,171.0696258544922
1681552891.240255,1769472,146.52981567382812
1681552892.1622226,1835008,151.91346740722656
1681552893.144761,1900544,156.92623901367188
1681552894.1251607,1966080,157.58123779296875
1681552895.063428,2031616,156.54232788085938
1681552895.9869847,2097152,149.39857482910156
1681552896.9194615,2162688,147.94216918945312
1681552897.8408618,2228224,148.3139190673828
1681552898.769587,2293760,133.39573669433594
1681552899.7060246,2359296,154.64283752441406
1681552900.663315,2424832,131.0810546875
1681552901.6096706,2490368,156.34397888183594
1681552902.5161836,2555904,150.82972717285156
1681552903.435797,2621440,148.0115966796875
1681552904.3619502,2686976,168.7195281982422
1681552905.2898242,2752512,171.05935668945312
1681552906.236105,2818048,159.26315307617188
1681552907.1377065,2883584,198.2644500732422
1681552908.0430121,2949120,192.24374389648438
1681552908.9434593,3014656,154.81971740722656
1681552909.860468,3080192,157.3506317138672
1681552910.777318,3145728,161.63003540039062
1681552911.68987,3211264,186.1788787841797
1681552912.604341,3276800,209.887451171875
1681552913.5271692,3342336,236.38897705078125
1681552914.463728,3407872,207.66384887695312
1681552915.3636932,3473408,229.9236297607422
1681552916.2535243,3538944,246.5526885986328
1681552917.169878,3604480,273.68914794921875
1681552918.0922418,3670016,275.98187255859375
1681552919.0170283,3735552,262.37152099609375
1681552919.9130845,3801088,268.5672302246094
1681552920.8309858,3866624,260.1516418457031
1681552921.728626,3932160,306.1431884765625
1681552922.646124,3997696,304.5667419433594
1681552923.5370865,4063232,310.2306823730469
1681552924.4530623,4128768,307.0412902832031
1681552925.3504024,4194304,268.8203125
1681552926.2537591,4259840,276.1338195800781
1681552927.1528127,4325376,251.1836700439453
1681552928.0501184,4390912,293.2710266113281
1681552928.9495304,4456448,283.6244812011719
1681552929.8445263,4521984,318.2048645019531
1681552930.7860262,4587520,329.292724609375
1681552931.7005937,4653056,315.6207580566406
1681552932.5955029,4718592,321.0812072753906
1681552933.5131288,4784128,325.25579833984375
1681552934.42049,4849664,328.7771911621094
1681552935.3263059,4915200,336.992919921875
1681552936.2448242,4980736,322.27081298828125
1681552937.1735094,5046272,321.9124755859375
1681552938.0945892,5111808,314.06097412109375
1681552938.9958293,5177344,337.7016296386719
1681552939.9159575,5242880,344.49371337890625
1681552940.849651,5308416,364.99530029296875
1681552941.751953,5373952,385.0487365722656
1681552942.6542516,5439488,393.7371826171875
1681552943.5572815,5505024,375.2606506347656
1681552944.4484985,5570560,389.7183837890625
1681552945.334605,5636096,407.65625
1681552946.3197725,5701632,408.62152099609375
1681552947.261072,5767168,398.4967346191406
1681552948.1497612,5832704,398.2389221191406
1681552949.050311,5898240,392.1671142578125
1681552949.94424,5963776,377.6911926269531
1681552950.8603625,6029312,402.0059814453125
1681552951.766709,6094848,401.8627624511719
1681552952.6522722,6160384,422.2331237792969
1681552953.5659447,6225920,438.753662109375
1681552954.472669,6291456,401.15679931640625
1681552955.3677032,6356992,418.71136474609375
1681552956.3015504,6422528,430.4262390136719
1681552957.1949897,6488064,444.47882080078125
1681552958.1679363,6553600,460.7781982421875
1681552959.0787954,6619136,440.3864440917969
1681552959.9579434,6684672,423.2641296386719
1681552960.9181535,6750208,447.2816162109375
1681552961.9040492,6815744,488.61334228515625
1681552962.9355547,6881280,488.6392517089844
1681552963.8883476,6946816,480.2660827636719
1681552964.818498,7012352,526.02978515625
1681552965.7975736,7077888,520.9971313476562
1681552966.7269955,7143424,525.6549072265625
1681552967.698811,7208960,534.1689453125
1681552968.6497111,7274496,534.750732421875
1681552969.6143494,7340032,540.9415283203125
1681552970.6303167,7405568,534.9386596679688
1681552971.5667222,7471104,532.4799194335938
1681552972.4935887,7536640,521.9520263671875
1681552973.3826895,7602176,509.40234375
1681552974.323026,7667712,534.2807006835938
1681552975.208475,7733248,545.3247680664062
1681552976.1330125,7798784,540.079345703125
1681552977.021761,7864320,560.9866333007812
1681552977.928755,7929856,571.759765625
1681552978.850978,7995392,565.063720703125
1681552979.7515368,8060928,521.898681640625
1681552980.6525729,8126464,524.7203979492188
1681552981.5772376,8192000,578.6146850585938
1681552982.503374,8257536,589.4041137695312
1681552983.4387963,8323072,552.826171875
1681552984.33178,8388608,570.3944091796875
1681552985.2142785,8454144,569.69677734375
1681552986.115723,8519680,566.2032470703125
1681552987.0104108,8585216,554.43505859375
1681552987.8968806,8650752,551.6918334960938
1681552988.7940886,8716288,572.5410766601562
1681552989.6899803,8781824,552.5307006835938
