Wall time,Step,Value
1681435780.5357645,65536,91.19290924072266
1681435781.0546923,131072,123.57893371582031
1681435781.6284516,196608,136.9900665283203
1681435782.1127114,262144,108.29230499267578
1681435782.6444738,327680,112.57691955566406
1681435783.202648,393216,104.03755950927734
1681435783.7746346,458752,92.33466339111328
1681435784.317225,524288,104.94962310791016
1681435784.8602026,589824,98.15367889404297
1681435785.3630972,655360,107.06907653808594
1681435785.8915842,720896,112.39462280273438
1681435786.3994262,786432,114.28488159179688
1681435786.926927,851968,130.572021484375
1681435787.432212,917504,137.79367065429688
1681435787.9210482,983040,137.9491424560547
1681435788.4346788,1048576,153.94131469726562
1681435788.9400983,1114112,175.81239318847656
1681435789.412761,1179648,182.6590118408203
1681435789.8826797,1245184,209.97390747070312
1681435790.3283346,1310720,214.13975524902344
1681435790.7870927,1376256,247.99850463867188
1681435791.2238572,1441792,286.5749206542969
1681435791.7077882,1507328,297.0693054199219
1681435792.1805794,1572864,331.2352600097656
1681435792.6296887,1638400,335.4017639160156
1681435793.0745766,1703936,344.9767761230469
1681435793.5202112,1769472,356.8907775878906
1681435793.9557772,1835008,336.9793701171875
1681435794.4775662,1900544,358.33154296875
1681435794.960859,1966080,335.4532470703125
1681435795.402601,2031616,354.16265869140625
1681435795.855361,2097152,331.9512023925781
1681435796.2960727,2162688,372.5246276855469
1681435796.7355702,2228224,383.36053466796875
1681435797.1789346,2293760,369.8052673339844
1681435797.648774,2359296,389.54241943359375
1681435798.1606026,2424832,414.6623229980469
1681435798.6597865,2490368,386.552734375
1681435799.1051624,2555904,361.35931396484375
1681435799.5934367,2621440,353.7003173828125
1681435800.0461345,2686976,394.68499755859375
1681435800.5011864,2752512,360.3791809082031
1681435800.9519303,2818048,360.6061096191406
1681435801.3896916,2883584,340.0530090332031
1681435801.8782141,2949120,405.3433532714844
1681435802.3161633,3014656,380.5822448730469
1681435802.746948,3080192,440.2287292480469
1681435803.1769092,3145728,386.8968811035156
1681435803.6251163,3211264,425.7964782714844
1681435804.1089942,3276800,407.29998779296875
1681435804.569652,3342336,394.3664245605469
1681435805.022206,3407872,394.14495849609375
1681435805.4550054,3473408,368.1009216308594
1681435805.8989804,3538944,337.4720153808594
1681435806.3275373,3604480,324.97161865234375
1681435806.7969785,3670016,278.0548400878906
1681435807.2686281,3735552,272.8621826171875
1681435807.6950061,3801088,259.6827697753906
1681435808.1385815,3866624,283.12603759765625
1681435808.584101,3932160,278.9048156738281
1681435809.0184,3997696,270.46734619140625
1681435809.4587376,4063232,260.7988586425781
1681435809.8904817,4128768,263.14453125
1681435810.3210251,4194304,274.6695556640625
1681435810.743948,4259840,275.71533203125
1681435811.1591482,4325376,275.71533203125
1681435811.5905337,4390912,276.7540283203125
1681435812.045215,4456448,278.9163513183594
1681435812.473094,4521984,302.4602355957031
1681435812.887399,4587520,308.413818359375
1681435813.3007195,4653056,314.29833984375
1681435813.712679,4718592,316.34234619140625
1681435814.1218073,4784128,316.34234619140625
1681435814.533587,4849664,316.34234619140625
1681435814.94631,4915200,322.3182067871094
1681435815.3564856,4980736,329.2240295410156
1681435815.7877762,5046272,337.0431213378906
1681435816.2061143,5111808,337.0431213378906
1681435816.6261053,5177344,341.59588623046875
1681435817.0491421,5242880,347.864013671875
1681435817.4788818,5308416,347.864013671875
1681435817.9081814,5373952,347.864013671875
1681435818.3169084,5439488,347.864013671875
1681435818.7288585,5505024,349.1142883300781
1681435819.150902,5570560,355.03216552734375
1681435819.5689733,5636096,355.03216552734375
1681435819.9792416,5701632,355.03216552734375
1681435820.3958426,5767168,355.03216552734375
1681435820.8177154,5832704,355.03216552734375
1681435821.2347183,5898240,355.03216552734375
1681435821.6527033,5963776,355.03216552734375
1681435822.070549,6029312,370.6971740722656
1681435822.4905815,6094848,370.6971740722656
1681435822.911911,6160384,370.6971740722656
1681435823.3352923,6225920,370.6971740722656
1681435823.818506,6291456,370.6971740722656
1681435824.248263,6356992,370.6971740722656
1681435824.695862,6422528,370.6971740722656
