Wall time,Step,Value
1681438555.9656017,65536,62.91187286376953
1681438556.8662584,131072,126.06607818603516
1681438557.8259037,196608,186.5531463623047
1681438558.788418,262144,204.48411560058594
1681438559.7372441,327680,221.2431182861328
1681438560.6536648,393216,234.84327697753906
1681438561.5712993,458752,228.17544555664062
1681438562.4842448,524288,224.03257751464844
1681438563.408317,589824,189.70217895507812
1681438564.3165736,655360,170.61936950683594
1681438565.2603507,720896,176.15341186523438
1681438566.191294,786432,169.90676879882812
1681438567.1730855,851968,154.6293182373047
1681438568.1525674,917504,152.2071533203125
1681438569.105834,983040,172.16989135742188
1681438570.048157,1048576,150.76348876953125
1681438570.9929268,1114112,167.40383911132812
1681438571.9426765,1179648,147.5030059814453
1681438572.899691,1245184,150.0098114013672
1681438573.8475697,1310720,154.25836181640625
1681438574.818878,1376256,184.21673583984375
1681438575.816756,1441792,134.80772399902344
1681438576.7904172,1507328,128.2985382080078
1681438577.7455966,1572864,142.90158081054688
1681438578.7387369,1638400,128.30438232421875
1681438579.7138653,1703936,111.65364074707031
1681438580.7177584,1769472,108.6764144897461
1681438581.7299056,1835008,110.59358978271484
1681438582.7154303,1900544,96.57112884521484
1681438583.7262528,1966080,125.11448669433594
1681438584.695264,2031616,118.94668579101562
1681438585.6775076,2097152,127.60381317138672
1681438586.6120095,2162688,156.74752807617188
1681438587.53723,2228224,167.14398193359375
1681438588.4622848,2293760,172.41726684570312
1681438589.3751469,2359296,233.93690490722656
1681438590.314255,2424832,249.514404296875
1681438591.2751284,2490368,258.8270568847656
1681438592.2118921,2555904,211.98159790039062
1681438593.147821,2621440,213.8072052001953
1681438594.096572,2686976,216.84019470214844
1681438595.0132515,2752512,243.20999145507812
1681438595.9458826,2818048,240.34323120117188
1681438596.8754952,2883584,281.77801513671875
1681438597.8185337,2949120,217.3704376220703
1681438598.7612345,3014656,212.5369110107422
1681438599.6841648,3080192,227.04296875
1681438600.6071267,3145728,239.06198120117188
1681438601.5421135,3211264,252.6278533935547
1681438602.46903,3276800,328.5064392089844
1681438603.4216924,3342336,347.46624755859375
1681438604.3772404,3407872,383.8787536621094
1681438605.3292544,3473408,379.99261474609375
1681438606.252435,3538944,388.1145324707031
1681438607.2048864,3604480,390.2742004394531
1681438608.1611395,3670016,389.1082458496094
1681438609.089574,3735552,412.6262512207031
1681438610.04292,3801088,423.3055419921875
1681438610.9977496,3866624,421.21343994140625
1681438611.9413152,3932160,398.6325378417969
1681438612.87943,3997696,404.1221923828125
1681438613.8041012,4063232,404.71820068359375
1681438614.7274559,4128768,383.8815002441406
1681438615.677883,4194304,406.43206787109375
1681438616.6414623,4259840,401.8830261230469
1681438617.5300484,4325376,413.978271484375
1681438618.476959,4390912,412.7608947753906
1681438619.4040346,4456448,407.1797180175781
1681438620.3102841,4521984,436.4674072265625
1681438621.2486749,4587520,440.3952941894531
1681438622.222236,4653056,395.1038513183594
