Wall time,Step,Value
1681436541.777099,65536,92.13640594482422
1681436542.2899709,131072,123.71914672851562
1681436542.8740456,196608,133.74221801757812
1681436543.3748903,262144,115.83536529541016
1681436543.8637617,327680,123.10882568359375
1681436544.4205475,393216,125.43949127197266
1681436544.9361072,458752,121.5393295288086
1681436545.436374,524288,119.42632293701172
1681436545.9440591,589824,126.48920440673828
1681436546.4552739,655360,122.5047607421875
1681436546.953484,720896,133.82546997070312
1681436547.4671476,786432,143.06813049316406
1681436547.9807315,851968,149.7517547607422
1681436548.4686005,917504,150.52511596679688
1681436548.9422283,983040,160.92909240722656
1681436549.431576,1048576,177.41880798339844
1681436549.9482064,1114112,176.78392028808594
1681436550.4395359,1179648,187.3719940185547
1681436550.9470003,1245184,203.29653930664062
1681436551.406196,1310720,221.43312072753906
1681436551.8625596,1376256,262.4739074707031
1681436552.351086,1441792,255.06944274902344
1681436552.799086,1507328,255.35206604003906
1681436553.2449543,1572864,261.7887878417969
1681436553.6837907,1638400,283.6591796875
1681436554.1222088,1703936,315.1121520996094
1681436554.5630531,1769472,317.34521484375
1681436555.0062938,1835008,356.05474853515625
1681436555.439853,1900544,398.8817138671875
1681436555.9057682,1966080,398.1562805175781
1681436556.355058,2031616,423.4627990722656
1681436556.7948794,2097152,421.91436767578125
1681436557.2380414,2162688,466.2216796875
1681436557.6798706,2228224,465.22979736328125
1681436558.1268134,2293760,483.8058166503906
1681436558.5784664,2359296,478.84820556640625
1681436559.0263855,2424832,481.6121520996094
1681436559.4734387,2490368,468.8943786621094
1681436559.914686,2555904,521.3616333007812
1681436560.356739,2621440,502.4069519042969
1681436560.8012753,2686976,481.0395202636719
1681436561.2675188,2752512,444.921630859375
1681436561.7205045,2818048,439.6022033691406
1681436562.1612542,2883584,416.8520202636719
1681436562.602518,2949120,452.2603759765625
1681436563.035813,3014656,403.4963684082031
1681436563.491923,3080192,391.75494384765625
1681436563.9321826,3145728,390.7628479003906
1681436564.3618722,3211264,426.04742431640625
1681436564.7972448,3276800,462.5789489746094
1681436565.249083,3342336,420.08642578125
1681436565.7031882,3407872,473.16119384765625
1681436566.1536562,3473408,460.92681884765625
1681436566.5935318,3538944,497.3647155761719
1681436567.0355678,3604480,565.203125
1681436567.4786813,3670016,546.4771118164062
1681436567.909208,3735552,556.0162353515625
1681436568.348377,3801088,584.8256225585938
1681436568.7972014,3866624,571.2040405273438
1681436569.2360218,3932160,593.915283203125
1681436569.687302,3997696,546.3494262695312
1681436570.1422923,4063232,576.4566040039062
1681436570.5819337,4128768,599.566650390625
1681436571.026434,4194304,582.7714233398438
1681436571.4692793,4259840,567.2807006835938
1681436571.9084935,4325376,629.9967651367188
1681436572.3579063,4390912,702.6487426757812
1681436572.843563,4456448,663.2020263671875
1681436573.2905881,4521984,687.8951416015625
1681436573.7297852,4587520,745.913330078125
1681436574.176335,4653056,806.7115478515625
1681436574.6128263,4718592,815.4573974609375
1681436575.0612009,4784128,867.4043579101562
1681436575.511734,4849664,845.2008666992188
1681436575.9417439,4915200,825.44677734375
1681436576.3796504,4980736,812.427734375
1681436576.8159964,5046272,830.0480346679688
1681436577.2508225,5111808,784.1443481445312
1681436577.6890156,5177344,831.104248046875
1681436578.1271725,5242880,883.6548461914062
1681436578.5679698,5308416,834.11865234375
1681436578.9974716,5373952,905.6708374023438
1681436579.4471362,5439488,935.3873901367188
1681436579.880894,5505024,934.1107788085938
1681436580.3203053,5570560,964.8012084960938
1681436580.8147008,5636096,998.352294921875
1681436581.2598395,5701632,931.61279296875
1681436581.6966312,5767168,913.9588012695312
1681436582.1321487,5832704,874.0020751953125
1681436582.563729,5898240,880.2353515625
1681436582.9995735,5963776,887.1647338867188
1681436583.4517562,6029312,925.4334716796875
1681436583.8891187,6094848,925.3253784179688
1681436584.323072,6160384,954.0696411132812
1681436584.75851,6225920,964.1094970703125
1681436585.1852472,6291456,975.966796875
1681436585.625799,6356992,1017.5926513671875
1681436586.0598884,6422528,1038.36962890625
1681436586.4925318,6488064,1015.614990234375
1681436586.9264307,6553600,1017.4569091796875
1681436587.3648376,6619136,1008.1641235351562
1681436587.7901468,6684672,1051.8116455078125
1681436588.2228913,6750208,1055.734619140625
1681436588.6533868,6815744,1076.424560546875
1681436589.0862775,6881280,1135.033447265625
1681436589.5214636,6946816,1194.1546630859375
1681436589.9585078,7012352,1196.2462158203125
1681436590.3886726,7077888,1249.1673583984375
1681436590.8316333,7143424,1266.8880615234375
1681436591.2974699,7208960,1353.78759765625
1681436591.7704573,7274496,1407.9896240234375
1681436592.2039444,7340032,1550.5096435546875
1681436592.6396132,7405568,1546.788818359375
1681436593.074839,7471104,1600.15234375
1681436593.5219016,7536640,1574.294189453125
1681436593.948575,7602176,1566.99853515625
1681436594.3696744,7667712,1602.140380859375
1681436594.803205,7733248,1607.433349609375
1681436595.2483637,7798784,1609.0977783203125
1681436595.6904645,7864320,1613.6456298828125
1681436596.1176107,7929856,1600.40966796875
1681436596.5451398,7995392,1586.552734375
1681436596.9693208,8060928,1609.1043701171875
1681436597.3985984,8126464,1611.9205322265625
1681436597.8253393,8192000,1606.911865234375
1681436598.2571955,8257536,1600.603759765625
1681436598.6847785,8323072,1639.326416015625
1681436599.109404,8388608,1639.326416015625
1681436599.5355403,8454144,1637.1612548828125
1681436599.962756,8519680,1621.8902587890625
1681436600.4207382,8585216,1666.1373291015625
1681436600.8534243,8650752,1619.9285888671875
1681436601.2803235,8716288,1639.5504150390625
1681436601.7093563,8781824,1648.549072265625
1681436602.1353168,8847360,1652.4051513671875
1681436602.5736763,8912896,1652.4051513671875
1681436602.9922404,8978432,1649.71435546875
1681436603.4203403,9043968,1658.37646484375
1681436603.8439682,9109504,1681.1468505859375
1681436604.27911,9175040,1654.711181640625
